pmcid,title,abstract
PMC6290738,A potent germline-like human monoclonal antibody targets a pH-sensitive epitope on H7N9 influenza hemagglutinin,"The H7N9 influenza virus causes high-mortality disease in humans but no effective therapeutics are available. Here we report a human monoclonal antibody, m826, that binds to H7 hemagglutinin (HA) and protects against H7N9 infection. m826 binds to H7N9 HA with subnanomolar affinity at acidic pH and 10-fold lower affinity at neutral pH. The high-resolution (1.9 Å) crystal structure of m826 complexed with H7N9 HA indicates that m826 binds an epitope that may be fully exposed upon pH-induced conformational changes in HA. m826 fully protects mice against lethal challenge with H7N9 virus through mechanisms likely involving antibody-dependent cell-mediated cytotoxicity (ADCC). Interestingly, immunogenetic analysis indicates that m826 is a germline antibody and m826-like sequences can be identified in H7N9-infected patients, healthy adults and newborn babies. These m826 properties offer a template for H7N9 vaccine immunogens, a promising candidate therapeutic, and a tool for exploring mechanisms of virus infection inhibition by antibodies."
PMC7167668,Risk factors for adverse outcomes of Indigenous infants hospitalized with bronchiolitis,"BACKGROUND: Hospitalized bronchiolitis imposes a significant burden among infants, particularly among Indigenous children. Traditional or known risk factors for severe disease are well described, but there are limited data on risks for prolonged hospitalization and persistent symptoms. Our aims were to determine factors (clinical and microbiological) associated with (i) prolonged length of stay (LOS); (ii) persistent respiratory symptoms at 3 weeks; (iii) bronchiectasis up to ∼24 months post‐hospitalisation; and (iv) risk of respiratory readmissions within 6 months. METHODS: Indigenous infants hospitalized with bronchiolitis were enrolled at Royal Darwin Hospital between 2008 and 2013. Standardized forms were used to record clinical data. A nasopharyngeal swab was collected at enrolment to identify respiratory viruses and bacteria. RESULTS: The median age of 232 infants was 5 months (interquartile range 3–9); 65% male. On multivariate regression, our 12 point severity score (including accessory muscle use) was the only factor associated with prolonged LOS but the effect was modest (+3.0 hr per point, 95%CI: 0.7, 5.1, P = 0.01). Presence of cough at 3 weeks increased the odds of bronchiectasis (OR 3.0, 95%CI: 1.1, 7.0, P = 0.03). Factors associated with respiratory readmissions were: previous respiratory hospitalization (OR 2.3, 95%CI: 1.0, 5.4, P = 0.05) and household smoke (OR 2.6, 95%CI: 1.0, 6.3, P = 0.04). CONCLUSION: Increased severity score is associated with prolonged LOS in Indigenous children hospitalized with bronchiolitis. As persistent symptoms at 3 weeks post‐hospitalization are associated with future diagnosis of bronchiectasis, optimising clinical care beyond hospitalization is needed to improve long‐term respiratory outcomes for infants at risk of respiratory disease. Pediatr Pulmonol. 2016;51:613–623. © 2015 Wiley Periodicals, Inc."
PMC2878469,Effect of mucosal and systemic immunization with virus-like particles of severe acute respiratory syndrome coronavirus in mice,"Nasal administration has emerged as a promising and attractive route for vaccination, especially for the prophylaxis of respiratory diseases. Our previous studies have shown that severe acute respiratory syndrome coronavirus (SARS-CoV) virus-like particles (VLPs) can be assembled using a recombinant baculovirus (rBV) expression system and such VLPs induce specific humoral and cellular immune responses in mice after subcutaneous injection. Here, we investigated mucosal immune responses to SARS-CoV VLPs in a mouse model. Mice were immunized in parallel, intraperitoneally or intranasally, with VLPs alone or with VLPs plus cytosine–phosphate–guanosine (CpG). Immune responses, including the production of SARS-CoV-specific serum immunoglobulin G (IgG) and secretory immunoglobulin A (sIgA), were determined in mucosal secretions and tissues. Both immunizations induced SARS-CoV-specific IgG, although the levels of IgG in groups immunized via the intraperitoneal (i.p.) route were higher. sIgA was detected in saliva in groups immunized intranasally but not in groups immunized intraperitoneally. CpG had an adjuvant effect on IgA production in genital tract washes when administered intranasally but only affected IgA production in faeces samples when administered intraperitoneally. In addition, IgA was also detected in mucosal tissues from the lung and intestine, while CpG induced an increased level of IgA in the intestine. Most importantly, neutralization antibodies were detected in sera after i.p. and intranasal (i.n.) immunizations. Secretions in genital tract washes from the i.n. group also showed neutralization activity. Furthermore, VLPs that were administered intraperitoneally elicited cellular immune responses as demonstrated by enzyme-linked immunospot (ELISPOT) assay analyses. In summary, our study indicates that mucosal immunization with rBV SARS-CoV VLPs represent an effective means for eliciting protective systemic and mucosal immune responses against SARS-CoV, providing important information for vaccine design."
PMC5315308,Complementary and alternative medicine for the treatment of bronchiolitis in infants: A systematic review,"BACKGROUND: Bronchiolitis is a common cause of hospitalization among infants. The limited effectiveness of conventional medication has prompted the use of complementary and alternative medicine (CAM) as alternative or adjunctive therapy for the management of bronchiolitis. AIMS: To determine the effectiveness and safety of CAM for the treatment of bronchiolitis in infants aged less than 2 years. METHODS: A systematic electronic search was performed in Medline, Embase, CINAHL, AMED, and Cochrane Central Register of Controlled Trials (CENTRAL) from their respective inception to June 30, 2016 for studies evaluating CAM as an intervention to treat bronchiolitis in infants (1 month to 2 years of age). The CAM could be any form of treatment defined by the National Center for Complementary and Integrative Health (NCCIH) and was utilized either as a single agent or adjunctive therapy. The predefined primary outcome was length of hospital stay. Secondary outcomes were time to resolution of bronchiolitis symptoms, adverse events, and all other clinical outcomes reported by the included studies. RESULTS: The review identified 11 studies (8 randomized controlled trials and 3 cohort studies) examining four herbal preparations and four supplements used either as adjunctive or alternative therapy for bronchiolitis in 904 infants. Most studies were of moderate quality. Among six studies reporting on length of stay, a significant benefit was found for Chinese herbal medicine compared to ribavirin in one cohort study (n = 66) and vitamin D compared to placebo in one randomized controlled trial (n = 89). Studies of Chinese herbal medicine (4 studies, n = 365), vitamin D (1 study, n = 89), N-acetylcysteine (1 study, n = 100), and magnesium (2 studies, n = 176) showed some benefits with respect to clinical severity scores, oxygen saturation, and other symptoms, although data were sparse for any single intervention and the outcomes assessed and reported varied across studies. Only five studies reported on adverse events; no serious adverse events were reported. CONCLUSIONS: Among 11 studies examining the effect of CAM on inpatients with bronchiolitis, six reported on the review’s primary outcome of length of hospital stay. In general, findings did not show a significant benefit associated with the primary outcome. Preliminary evidence indicated that Chinese herbal medicine mixtures, vitamin D, N-acetylcysteine, and magnesium might be useful in managing the symptoms of bronchiolitis. However, the evidence was not sufficient or rigorous enough to formulate recommendations for the use of any CAM. Among studies that reported adverse events, no serious harms were noted."
PMC5358466,Secreted Interferon-Inducible Factors Restrict Hepatitis B and C Virus Entry In Vitro,"Interferon-α (IFN-α) has been used for more than 20 years as the first-line therapy for hepatitis B virus (HBV) and hepatitis C virus (HCV) infection, because it has a number of antiviral effects. In this study, we describe a novel mode of its antiviral action. We demonstrate that the supernatant from IFN-α-treated cultured cells restricted HBV and HCV infection by inhibiting viral entry into hepatoma cells. The factors contained in the supernatant competed with the virus for binding to heparan glycosaminoglycans—the nonspecific attachment step shared by HBV and HCV. Secreted factors of high molecular mass that bind to heparin columns elicited the antiviral effect. In conclusion, IFN-α is able to induce soluble factors that can bind to heparan glycosaminoglycans thus leading to the inhibition of viral binding."
PMC5923478,Arbidol (Umifenovir): A Broad-Spectrum Antiviral Drug That Inhibits Medically Important Arthropod-Borne Flaviviruses,"Arthropod-borne flaviviruses are human pathogens of global medical importance, against which no effective small molecule-based antiviral therapy has currently been reported. Arbidol (umifenovir) is a broad-spectrum antiviral compound approved in Russia and China for prophylaxis and treatment of influenza. This compound shows activities against numerous DNA and RNA viruses. The mode of action is based predominantly on impairment of critical steps in virus-cell interactions. Here we demonstrate that arbidol possesses micromolar-level anti-viral effects (EC(50) values ranging from 10.57 ± 0.74 to 19.16 ± 0.29 µM) in Vero cells infected with Zika virus, West Nile virus, and tick-borne encephalitis virus, three medically important representatives of the arthropod-borne flaviviruses. Interestingly, no antiviral effects of arbidol are observed in virus infected porcine stable kidney cells (PS), human neuroblastoma cells (UKF-NB-4), and human hepatoma cells (Huh-7 cells) indicating that the antiviral effect of arbidol is strongly cell-type dependent. Arbidol shows increasing cytotoxicity when tested in various cell lines, in the order: Huh-7 < HBCA < PS < UKF-NB-4 < Vero with CC(50) values ranging from 18.69 ± 0.1 to 89.72 ± 0.19 µM. Antiviral activities and acceptable cytotoxicity profiles suggest that arbidol could be a promising candidate for further investigation as a potential therapeutic agent in selective treatment of flaviviral infections."
PMC5496227,Cost-effectiveness analysis of N95 respirators and medical masks to protect healthcare workers in China from respiratory infections,"BACKGROUND: There are substantial differences between the costs of medical masks and N95 respirators. Cost-effectiveness analysis is required to assist decision-makers evaluating alternative healthcare worker (HCW) mask/respirator strategies. This study aims to compare the cost-effectiveness of N95 respirators and medical masks for protecting HCWs in Beijing, China. METHODS: We developed a cost-effectiveness analysis model utilising efficacy and resource use data from two cluster randomised clinical trials assessing various mask/respirator strategies conducted in HCWs in Level 2 and 3 Beijing hospitals for the 2008–09 and 2009–10 influenza seasons. The main outcome measure was the incremental cost-effectiveness ratio (ICER) per clinical respiratory illness (CRI) case prevented. We used a societal perspective which included intervention costs, the healthcare costs of CRI in HCWs and absenteeism costs. RESULTS: The incremental cost to prevent a CRI case with continuous use of N95 respirators when compared to medical masks ranged from US $490–$1230 (approx. 3000-7600 RMB). One-way sensitivity analysis indicated that the CRI attack rate and intervention effectiveness had the greatest impact on cost-effectiveness. CONCLUSIONS: The determination of cost-effectiveness for mask/respirator strategies will depend on the willingness to pay to prevent a CRI case in a HCW, which will vary between countries. In the case of a highly pathogenic pandemic, respirator use in HCWs would likely be a cost-effective intervention."
PMC5850442,Procalcitonin as a Marker of Etiology in Adults Hospitalized With Community-Acquired Pneumonia,"BACKGROUND. Recent trials suggest procalcitonin-based guidelines can reduce antibiotic use for respiratory infections. However, the accuracy of procalcitonin to discriminate between viral and bacterial pneumonia requires further dissection. METHODS. We evaluated the association between serum procalcitonin concentration at hospital admission with pathogens detected in a multicenter prospective surveillance study of adults hospitalized with community-acquired pneumonia. Systematic pathogen testing included cultures, serology, urine antigen tests, and molecular detection. Accuracy of procalcitonin to discriminate between viral and bacterial pathogens was calculated. RESULTS. Among 1735 patients, pathogens were identified in 645 (37%), including 169 (10%) with typical bacteria, 67 (4%) with atypical bacteria, and 409 (24%) with viruses only. Median procalcitonin concentration was lower with viral pathogens (0.09 ng/mL; interquartile range [IQR], <0.05–0.54 ng/mL) than atypical bacteria (0.20 ng/mL; IQR, <0.05–0.87 ng/mL; P = .05), and typical bacteria (2.5 ng/mL; IQR, 0.29–12.2 ng/mL; P < .01). Procalcitonin discriminated bacterial pathogens, including typical and atypical bacteria, from viral pathogens with an area under the receiver operating characteristic (ROC) curve of 0.73 (95% confidence interval [CI], .69–.77). A procalcitonin threshold of 0.1 ng/mL resulted in 80.9% (95% CI, 75.3%–85.7%) sensitivity and 51.6% (95% CI, 46.6%–56.5%) specificity for identification of any bacterial pathogen. Procalcitonin discriminated between typical bacteria and the combined group of viruses and atypical bacteria with an area under the ROC curve of 0.79 (95% CI, .75–.82). CONCLUSIONS. No procalcitonin threshold perfectly discriminated between viral and bacterial pathogens, but higher procalcitonin strongly correlated with increased probability of bacterial pathogens, particularly typical bacteria."
PMC7301047,Highlights of Studies in Cardiovascular Disease Prevention Presented at the 2020 American College of Cardiology Annual Scientific Session,"PURPOSE OF REVIEW: The review highlights selected studies related to cardiovascular disease (CVD) prevention that were presented at the American College of Cardiology 2020 Virtual Scientific Session (ACC.20)/World Cardiology Congress (WCC). RECENT FINDINGS: The studies reviewed include clinical trials on the efficacy and safety of alirocumab (Study in Participants with Homozygous Familial Hypercholesterolemia [ODYSSEY HoFH]) and evinacumab in the treatment of homozygous familial hypercholesterolemia (HoFH); Evaluating the Efficacy of E-cigarettes for Smoking Cessation (E3); the use of renal denervation in the treatment of hypertension (SPYRAL HTN-OFF MED PIVOTAL); and the assessment of vericiguat in the treatment of heart failure (A Study of Vericiguat in Participants with Heart Failure with Reduce Ejection Fraction [VICTORIA]). In addition, results from the pooled analysis of phase III trials on inclisiran and secondary analysis examining eicosapentaenoic acid levels and cardiovascular outcomes from the Reduction of Cardiovascular Events with Icosapent Ethyl-Intervention Trial (REDUCE-IT) were included. Finally, we discuss studies examining the use of polygenic risk score with low density lipoprotein cholesterol (LDL-C) and systolic blood pressure (SBP) on lifetime cardiovascular risk. SUMMARY: The studies presented at the ACC.20/WCC represent notable contributions in the field of CVD prevention."
PMC3128050,Viral-bacterial co-infection in Australian Indigenous children with acute otitis media,"BACKGROUND: Acute otitis media with perforation (AOMwiP) affects 40% of remote Indigenous children during the first 18 months of life. Streptococcus pneumoniae, Haemophilus influenzae and Moraxella catarrhalis are the primary bacterial pathogens of otitis media and their loads predict clinical ear state. Our hypothesis is that antecedent respiratory viral infection increases bacterial density and progression to perforation. METHODS: A total of 366 nasopharyngeal swabs from 114 Indigenous children were retrospectively examined. A panel of 17 respiratory viruses was screened by PCR, and densities of S. pneumoniae, H. influenzae and M. catarrhalis were estimated by quantitative real time PCR. Data are reported by clinical ear state. RESULTS: M. catarrhalis (96%), H. influenzae (91%), S. pneumoniae (89%) and respiratory viruses (59%) were common; including rhinovirus (HRV) (38%), polyomavirus (HPyV) (14%), adenovirus (HAdV) (13%), bocavirus (HBoV) (8%) and coronavirus (HCoV) (4%). Geometric mean bacterial loads were significantly higher in children with acute otitis media (AOM) compared to children without evidence of otitis media. Children infected with HAdV were 3 times more likely (p < 0.001) to have AOM with or without perforation. CONCLUSION: This study confirms a positive association between nasopharyngeal bacterial load and clinical ear state, exacerbated by respiratory viruses, in Indigenous children. HAdV was independently associated with acute ear states."
PMC2957877,Targeting the Vasoprotective Axis of the Renin-Angiotensin System: A Novel Strategic Approach to Pulmonary Hypertensive Therapy,"A decade has passed since the discovery of angiotensin-converting enzyme 2 (ACE2), a component of the ACE2–angiotensin (Ang)-(1-7)–Mas counterregulatory axis of the renin angiotensin system (RAS). ACE2 is considered an endogenous regulator of the vasoconstrictive, proliferative, fibrotic, and proinflammatory effects of the ACE–Ang II–angiotensin II type 1 receptor (AT(1)R) axis. Both animal and clinical studies have emerged to define a role for ACE2 in pulmonary arterial hypertension (PAH). There is scientific evidence supporting the concept that ACE2 maintains the RAS balance and plays a protective role in PAH. The activation of pulmonary ACE2 could influence the pathogenesis of PAH and serve as a novel therapeutic target in PAH. Current therapeutic strategies and interventions have limited success, and PAH remains a fatal disease. Thus, more research that establishes the novel therapeutic potential and defines the mechanism of the ACE2–Ang-(1-7)–Mas counterregulatory axis in PAH is needed."
PMC7133233,The Secret Life of ACE2 as a Receptor for the SARS Virus,"The membrane-associated carboxypeptidase angiotensin-converting enzyme 2 (ACE2) is an essential regulator of heart function. Now, Li at al. identify and characterize an unexpected second function of ACE2 as a partner of the SARS-CoV spike glycoprotein in mediating virus entry and cell fusion."
PMC3693993,"Availability, consistency and evidence-base of policies and guidelines on the use of mask and respirator to protect hospital health care workers: a global analysis","BACKGROUND: Currently there is an ongoing debate and limited evidence on the use of masks and respirators for the prevention of respiratory infections in health care workers (HCWs). This study aimed to examine available policies and guidelines around the use of masks and respirators in HCWs and to describe areas of consistency between guidelines, as well as gaps in the recommendations, with reference to the WHO and the CDC guidelines. METHODS: Policies and guidelines related to mask and respirator use for the prevention of influenza, SARS and TB were examined. Guidelines from the World Health Organization (WHO), the Center for Disease Control and Prevention (CDC), three high-income countries and six low/middle-income countries were selected. RESULTS: Uniform recommendations are made by the WHO and the CDC in regards to protecting HCWs against seasonal influenza (a mask for low risk situations and a respirator for high risk situations) and TB (use of a respirator). However, for pandemic influenza and SARS, the WHO recommends mask use in low risk and respirators in high risk situations, whereas, the CDC recommends respirators in both low and high risk situations. Amongst the nine countries reviewed, there are variations in the recommendations for all three diseases. While, some countries align with the WHO recommendations, others align with those made by the CDC. The choice of respirator and the level of filtering ability vary amongst the guidelines and the different diseases. Lastly, none of the policies discuss reuse, extended use or the use of cloth masks. CONCLUSION: Currently, there are significant variations in the policies and recommendations around mask and respirator use for protection against influenza, SARS and TB. These differences may reflect the scarcity of level-one evidence available to inform policy development. The lack of any guidelines on the use of cloth masks, despite widespread use in many low and middle-income countries, remains a policy gap. Health organizations and countries should jointly evaluate the available evidence, prioritize research to inform evidence gaps, and develop consistent policy on masks and respirator use in the health care setting."
PMC3292390,Utility of serum procalcitonin values in patients with acute exacerbations of chronic obstructive pulmonary disease: a cautionary note,"BACKGROUND: Serum procalcitonin levels have been used as a biomarker of invasive bacterial infection and recently have been advocated to guide antibiotic therapy in patients with chronic obstructive pulmonary disease (COPD). However, rigorous studies correlating procalcitonin levels with microbiologic data are lacking. Acute exacerbations of COPD (AECOPD) have been linked to viral and bacterial infection as well as noninfectious causes. Therefore, we evaluated procalcitonin as a predictor of viral versus bacterial infection in patients hospitalized with AECOPD with and without evidence of pneumonia. METHODS: Adults hospitalized during the winter with symptoms consistent with AECOPD underwent extensive testing for viral, bacterial, and atypical pathogens. Serum procalcitonin levels were measured on day 1 (admission), day 2, and at one month. Clinical and laboratory features of subjects with viral and bacterial diagnoses were compared. RESULTS: In total, 224 subjects with COPD were admitted for 240 respiratory illnesses. Of these, 56 had pneumonia and 184 had AECOPD alone. A microbiologic diagnosis was made in 76 (56%) of 134 illnesses with reliable bacteriology (26 viral infection, 29 bacterial infection, and 21 mixed viral bacterial infection). Mean procalcitonin levels were significantly higher in patients with pneumonia compared with AECOPD. However, discrimination between viral and bacterial infection using a 0.25 ng/mL threshold for bacterial infection in patients with AECOPD was poor. CONCLUSION: Procalcitonin is useful in COPD patients for alerting clinicians to invasive bacterial infections such as pneumonia but it does not distinguish bacterial from viral and noninfectious causes of AECOPD."
PMC7088979,Virus-Like Particles as an Instrument of Vaccine Production,"The paper discusses the techniques which are currently implemented for vaccine production based on virus-like particles (VLPs). The factors which determine the characteristics of VLP monomers assembly are provided in detail. Analysis of the literature demonstrates that the development of the techniques of VLP production and immobilization of target antigens on their surface have led to the development of universal platforms which make it possible for virtually any known antigen to be exposed on the particle surface in a highly concentrated form. As a result, the focus of attention has shifted from the approaches to VLP production to the development of a precise interface between the organism’s immune system and the peptides inducing a strong immune response to pathogens or the organism’s own pathological cells. Immunome-specified methods for vaccine design and the prospects of immunoprophylaxis are discussed. Certain examples of vaccines against viral diseases and cancers are considered."
PMC5705692,The efficacy of medical masks and respirators against respiratory infection in healthcare workers,"OBJECTIVE: We aimed to examine the efficacy of medical masks and respirators in protecting against respiratory infections using pooled data from two homogenous randomised control clinical trials (RCTs). METHODS: The data collected on 3591 subjects in two similar RCTs conducted in Beijing, China, which examined the same infection outcomes, were pooled. Four interventions were compared: (i) continuous N95 respirator use, (ii) targeted N95 respirator use, (iii) medical mask use and (iv) control arm. The outcomes were laboratory‐confirmed viral respiratory infection, influenza A or B, laboratory‐confirmed bacterial colonisation and pathogens grouped by mode of transmission. RESULTS: Rates of all outcomes were consistently lower in the continuous N95 and/or targeted N95 arms. In adjusted analysis, rates of laboratory‐confirmed bacterial colonisation (RR 0.33, 95% CI 0.21‐0.51), laboratory‐confirmed viral infections (RR 0.46, 95% CI 0.23‐0.91) and droplet‐transmitted infections (RR 0.26, 95% CI 0.16‐0.42) were significantly lower in the continuous N95 arm. Laboratory‐confirmed influenza was also lowest in the continuous N95 arm (RR 0.34, 95% CI 0.10‐1.11), but the difference was not statistically significant. Rates of laboratory‐confirmed bacterial colonisation (RR 0.54, 95% CI 0.33‐0.87) and droplet‐transmitted infections (RR 0.43, 95% CI 0.25‐0.72) were also lower in the targeted N95 arm, but not in medical mask arm. CONCLUSION: The results suggest that the classification of infections into droplet versus airborne transmission is an oversimplification. Most guidelines recommend masks for infections spread by droplets. N95 respirators, as “airborne precautions,” provide superior protection for droplet‐transmitted infections. To ensure the occupational health and safety of healthcare worker, the superiority of respirators in preventing respiratory infections should be reflected in infection control guidelines."
PMC7276339,"Highlights of marine natural products having parallel scaffolds found from marine-derived bacteria, sponges, and tunicates","Marine-derived bacteria are a prolific source of a wide range of structurally diverse natural products. This review, dedicated to Professor William Fenical, begins by showcasing many seminal discoveries made at the University of California San Diego from marine-derived actinomycetes. Discussed early on is the 20-year journey of discovery and advancement of the seminal actinomycetes natural product salinosporamide A into Phase III anticancer clinical trials. There are many fascinating parallels discussed that were gleaned from the comparative literature of marine sponge, tunicate, and bacteria-derived natural products. Identifying bacterial biosynthetic machinery housed in sponge and tunicate holobionts through both culture-independent and culture-dependent approaches is another important and expanding subject that is analyzed. Work reviewed herein also evaluates the hypotheses that many marine invertebrate-derived natural products are biosynthesised by associated or symbiotic bacteria. The insights and outcomes from metagenomic sequencing and synthetic biology to expand molecule discovery continue to provide exciting outcomes and they are predicted to be the source of the next generation of novel marine natural product chemical scaffolds."
PMC7088305,Anti-protease and Immunomodulatory Activities of Bacteria Associated with Caribbean Sponges,"Marine sponges and their associated bacteria have been proven to be a rich source of novel secondary metabolites with therapeutic usefulness in cancer, infection, and autoimmunity. In this study, 79 strains belonging to 20 genera of the order Actinomycetales and seven strains belonging to two genera of the order Sphingomonadales were cultivated from 18 different Caribbean sponges and identified by 16S rRNA gene sequencing. Seven of these strains are likely to represent novel species. Crude extracts from selected strains were found to exhibit protease inhibition against cathepsins B and L, rhodesain, and falcipain-2 as well as immunomodulatory activities such as induction of cytokine release by human peripheral blood mononuclear cells. These results highlight the significance of marine sponge-associated bacteria to produce bioactive secondary metabolites with therapeutic potential in the treatment of infectious diseases and disorders of the immune system. ELECTRONIC SUPPLEMENTARY MATERIAL: The online version of this article (doi:10.1007/s10126-010-9349-0) contains supplementary material, which is available to authorized users."
PMC7188049,Angiotensin-Converting Enzyme 2: SARS-CoV-2 Receptor and Regulator of the Renin-Angiotensin System: Celebrating the 20th Anniversary of the Discovery of ACE2,"ACE2 (angiotensin-converting enzyme 2) has a multiplicity of physiological roles that revolve around its trivalent function: a negative regulator of the renin-angiotensin system, facilitator of amino acid transport, and the severe acute respiratory syndrome-coronavirus (SARS-CoV) and SARS-CoV-2 receptor. ACE2 is widely expressed, including, in the lungs, cardiovascular system, gut, kidneys, central nervous system, and adipose tissue. ACE2 has recently been identified as the SARS-CoV-2 receptor, the infective agent responsible for coronavirus disease 2019, providing a critical link between immunity, inflammation, ACE2, and cardiovascular disease. Although sharing a close evolutionary relationship with SARS-CoV, the receptor-binding domain of SARS-CoV-2 differs in several key amino acid residues, allowing for stronger binding affinity with the human ACE2 receptor, which may account for the greater pathogenicity of SARS-CoV-2. The loss of ACE2 function following binding by SARS-CoV-2 is driven by endocytosis and activation of proteolytic cleavage and processing. The ACE2 system is a critical protective pathway against heart failure with reduced and preserved ejection fraction including, myocardial infarction and hypertension, and against lung disease and diabetes mellitus. The control of gut dysbiosis and vascular permeability by ACE2 has emerged as an essential mechanism of pulmonary hypertension and diabetic cardiovascular complications. Recombinant ACE2, gene-delivery of Ace2, Ang 1–7 analogs, and Mas receptor agonists enhance ACE2 action and serve as potential therapies for disease conditions associated with an activated renin-angiotensin system. rhACE2 (recombinant human ACE2) has completed clinical trials and efficiently lowered or increased plasma angiotensin II and angiotensin 1-7 levels, respectively. Our review summarizes the progress over the past 20 years, highlighting the critical role of ACE2 as the novel SARS-CoV-2 receptor and as the negative regulator of the renin-angiotensin system, together with implications for the coronavirus disease 2019 pandemic and associated cardiovascular diseases."
PMC3285078,"The role of facemasks and hand hygiene in the prevention of influenza transmission in households: results from a cluster randomised trial; Berlin, Germany, 2009-2011","BACKGROUND: Previous controlled studies on the effect of non-pharmaceutical interventions (NPI) - namely the use of facemasks and intensified hand hygiene - in preventing household transmission of influenza have not produced definitive results. We aimed to investigate efficacy, acceptability, and tolerability of NPI in households with influenza index patients. METHODS: We conducted a cluster randomized controlled trial during the pandemic season 2009/10 and the ensuing influenza season 2010/11. We included households with an influenza positive index case in the absence of further respiratory illness within the preceding 14 days. Study arms were wearing a facemask and practicing intensified hand hygiene (MH group), wearing facemasks only (M group) and none of the two (control group). Main outcome measure was laboratory confirmed influenza infection in a household contact. We used daily questionnaires to examine adherence and tolerability of the interventions. RESULTS: We recruited 84 households (30 control, 26 M and 28 MH households) with 82, 69 and 67 household contacts, respectively. In 2009/10 all 41 index cases had a influenza A (H1N1) pdm09 infection, in 2010/11 24 had an A (H1N1) pdm09 and 20 had a B infection. The total secondary attack rate was 16% (35/218). In intention-to-treat analysis there was no statistically significant effect of the M and MH interventions on secondary infections. When analysing only households where intervention was implemented within 36 h after symptom onset of the index case, secondary infection in the pooled M and MH groups was significantly lower compared to the control group (adjusted odds ratio 0.16, 95% CI, 0.03-0.92). In a per-protocol analysis odds ratios were significantly reduced among participants of the M group (adjusted odds ratio, 0.30, 95% CI, 0.10-0.94). With the exception of MH index cases in 2010/11 adherence was good for adults and children, contacts and index cases. CONCLUSIONS: Results suggest that household transmission of influenza can be reduced by the use of NPI, such as facemasks and intensified hand hygiene, when implemented early and used diligently. Concerns about acceptability and tolerability of the interventions should not be a reason against their recommendation. TRIAL REGISTRATION: The study was registered with ClinicalTrials.gov (Identifier NCT00833885)."
PMC4491048,"Intranasal and oral vaccination with protein-based antigens: advantages, challenges and formulation strategies","Most pathogens initiate their infections at the human mucosal surface. Therefore, mucosal vaccination, especially through oral or intranasal administration routes, is highly desired for infectious diseases. Meanwhile, protein-based antigens provide a safer alternative to the whole pathogen or DNA based ones in vaccine development. However, the unique biopharmaceutical hurdles that intranasally or orally delivered protein vaccines need to overcome before they reach the sites of targeting, the relatively low immunogenicity, as well as the low stability of the protein antigens, require thoughtful and fine-tuned mucosal vaccine formulations, including the selection of immunostimulants, the identification of the suitable vaccine delivery system, and the determination of the exact composition and manufacturing conditions. This review aims to provide an up-to-date survey of the protein antigen-based vaccine formulation development, including the usage of immunostimulants and the optimization of vaccine delivery systems for intranasal and oral administrations. ELECTRONIC SUPPLEMENTARY MATERIAL: The online version of this article (doi:10.1007/s13238-015-0164-2) contains supplementary material, which is available to authorized users."
PMC4708214,Recent insights into the biological activities and drug delivery systems of tanshinones,"Tanshinones, the major lipid-soluble pharmacological constituents of the Chinese medicinal herb Tanshen (Salvia miltiorrhiza), have attracted growing scientific attention because of the prospective biomedical applications of these compounds. Numerous pharmacological activities, including anti-inflammatory, anticancer, and cardio-cerebrovascular protection activities, are exhibited by the three primary bioactive constituents among the tanshinones, ie, tanshinone I (TNI), tanshinone IIA (TNIIA), and cryptotanshinone (CPT). However, due to their poor solubility and low dissolution rate, the clinical applications of TNI, TNIIA, and CPT are limited. To solve these problems, many studies have focused on loading tanshinones into liposomes, nanoparticles, microemulsions, cyclodextrin inclusions, solid dispersions, and so on. In this review, we aim to offer an updated summary of the biological activities and drug delivery systems of tanshinones to provide a reference for these constituents in clinical applications."
PMC7169866,Respiratory virus infection after allogeneic hematopoietic stem cell transplant in a tropical center: Predictive value of the immunodeficiency scoring index,"BACKGROUND: Respiratory virus infection (RVI) is a prevalent infection in patients after allogeneic hematopoietic stem cell transplant (allo‐HSCT) and can result in significant morbidity and mortality. Ability to assess the potential severity of RVI is important in the management of such patients. METHODS: We reviewed the cases of RVI in allo‐HSCT recipients and explored the predictive value of the immunodeficiency scoring index (ISI) established for respiratory syncytial virus (RSV) and its applicability for RVI caused by other respiratory viruses. RESULTS: RVI occurred year‐round in our tropical transplant center, with peaks in the middle and end of the year. Ninety‐five of the 195 recipients developed a total of 191 episodes of RVI, giving a cumulative incidence of 28% by 6 months and 52% by 24 months for the first episode of RVI. RSV, influenza, rhinovirus, and parainfluenza were the most common viruses. Pneumonia occurred in 63.64%, 42.31%, and 32.42% of adenovirus, influenza, and RSV RVI episodes, respectively, but was also non‐negligible in the more benign viruses, such as coronavirus (31.58%) and rhinovirus (23.68%). Nineteen of the 63 episodes of viral pneumonia required mechanical ventilation and 14 deaths occurred within 6 weeks of the RVI. Receiver operating characteristic analysis showed that an ISI of ≥8 predicted pneumonia with a positive predictive value of >80% for RVI caused by RSV, influenza, adenovirus, and parainfluenza, while it was not predictive for coronavirus and rhinovirus. CONCLUSIONS: The ISI is a useful aid for decision‐making during clinic consultation for patients presenting with symptoms suggestive of an RVI."
